"","Var1","Freq"
"1","10101",5891
"2","10102",1958
"3","10103",8419
"4","10104",2474
"5","10105",1496
"6","10106",4015
"7","10107",4075
"8","10108",4181
"9","10109",9151
"10","10110",3017
"11","10111",2242
"12","10112",2733
"13","10114",6019
"14","10115",4150
"15","10116",7484
"16","10117",7934
"17","10118",15987
"18","10119",11331
"19","10120",7766
"20","10121",2998
"21","10122",18
"22","10123",118
"23","10124",50
"24","10125",77
"25","10126",80
"26","10128",6282
"27","10131",72
"28","10133",14
"29","10134",1
"30","10135",114
"31","10138",61
"32","10140",14
"33","10141",149
"34","10142",1898
"35","10143",4
"36","10144",11
"37","10146",26
"38","10147",3
"39","10148",21
"40","10149",31
"41","10201",7937
"42","10202",4349
"43","10203",5948
"44","10204",2918
"45","10205",8164
"46","10206",59
"47","10208",4
"48","10210",6237
"49","10212",14
"50","10213",2585
"51","10214",128
"52","10215",3
"53","10216",1
"54","10218",24
"55","10301",3355
"56","10302",8494
"57","10401",5092
"58","10402",1666
"59","10403",2712
"60","10501",5479
"61","10502",3476
"62","10503",2655
"63","10504",3541
"64","10506",5
"65","10508",16
"66","10509",73
"67","10510",7
"68","10511",3
"69","20101",6114
"70","20102",2728
"71","20103",5804
"72","20104",7069
"73","20105",15223
"74","20106",7021
"75","20107",75
"76","20108",15
"77","20201",4388
"78","20202",5716
"79","20203",1654
"80","20204",1248
"81","20301",3511
"82","20302",4944
"83","20303",4540
"84","20304",6740
"85","20305",10352
"86","20401",5423
"87","20402",6967
"88","20403",4129
"89","20404",658
"90","20405",1795
"91","20406",2553
"92","20407",3268
"93","20408",2442
"94","20409",1475
"95","20410",1855
"96","20501",6969
"97","20502",3869
"98","20503",5243
"99","20601",7820
"100","20602",5064
"101","20603",12875
"102","20604",2919
"103","20606",4495
"104","20607",4011
"105","20608",1862
"106","20609",163
"107","20701",675
"108","20702",3088
"109","20703",1870
"110","20704",1909
"111","20801",8523
"112","20802",605
"113","20803",3350
"114","20804",2314
"115","20805",1331
"116","20901",2099
"117","20902",661
"118","21001",4548
"119","21002",5899
"120","21003",1798
"121","21004",5746
"122","21005",10086
"123","21006",9841
"124","21007",8111
"125","21008",2295
"126","21009",1370
"127","21010",1824
"128","21101",5152
"129","21102",5292
"130","21103",1410
"131","21104",1758
"132","21201",7319
"133","21202",4976
"134","21203",1811
"135","21301",3485
"136","21302",6398
"137","21303",4807
"138","21304",1631
"139","21305",6781
"140","21306",1362
"141","21307",1259
"142","21401",6536
"143","21402",2123
"144","21403",223
"145","21406",38
"146","21501",2425
"147","21502",8016
"148","21503",3318
"149","21504",3890
"150","21505",3445
"151","21601",2099
"152","30101",1881
"153","30102",1837
"154","30103",1865
"155","30104",1738
"156","30105",3136
"157","30106",6050
"158","30107",2061
"159","30108",5065
"160","30109",7162
"161","30110",6018
"162","30201",7046
"163","30202",2374
"164","30203",2971
"165","30204",5
"166","30301",3295
"167","30302",2094
"168","30303",7237
"169","30304",6229
"170","30305",3330
"171","30401",5010
"172","30402",4150
"173","30403",1298
"174","30404",72
"175","30501",8694
"176","30502",7616
"177","30503",5557
"178","30504",8813
"179","30601",8042
"180","30602",3518
"181","30603",5660
"182","30604",49
"183","30606",53
"184","30701",5860
"185","30702",5124
"186","30703",2750
"187","30801",9142
"188","30802",4257
"189","30901",5283
"190","30902",7511
"191","30903",9242
"192","30904",4991
"193","30905",9305
"194","30906",33
"195","30907",42
"196","31001",6672
"197","31002",4917
"198","31003",3318
"199","31101",6302
"200","31102",3723
"201","31103",44
"202","31201",9979
"203","31202",7204
"204","31203",1877
"205","31204",3112
"206","31205",1730
"207","31206",2418
"208","40101",4824
"209","40102",5127
"210","40103",1856
"211","40104",2032
"212","40105",4679
"213","40106",13886
"214","40107",2408
"215","40108",7676
"216","40109",3523
"217","40110",2666
"218","40111",9400
"219","40112",5129
"220","40201",2428
"221","40202",8333
"222","40301",3773
"223","40302",5142
"224","40303",1832
"225","40304",2017
"226","40401",3850
"227","40402",1321
"228","40501",5265
"229","40502",5949
"230","40503",2951
"231","40601",4407
"232","40602",1965
"233","40603",1874
"234","40604",654
"235","40701",7454
"236","40702",4879
"237","40801",3791
"238","40802",972
"239","40901",5534
"240","40902",10326
"241","40903",11228
"242","40904",7025
"243","40905",3313
"244","40906",830
"245","41001",1526
"246","41002",1433
"247","41101",2272
"248","41102",1737
"249","50101",10800
"250","50102",2430
"251","50103",3102
"252","50104",4688
"253","50105",9071
"254","50106",5600
"255","50107",7377
"256","50108",2616
"257","50109",3578
"258","50110",2915
"259","50111",2535
"260","50112",5068
"261","50113",9076
"262","50114",2528
"263","50115",3704
"264","50116",29
"265","50117",48
"266","50119",355
"267","50120",10
"268","50121",36
"269","50125",7
"270","50126",44
"271","50128",14
"272","50129",60
"273","50131",11
"274","50132",1
"275","50133",13
"276","50135",1
"277","50136",29
"278","50137",6
"279","50139",2383
"280","50141",19
"281","50142",5
"282","50143",21
"283","50145",18
"284","50147",3
"285","50201",2652
"286","50202",13121
"287","50203",3347
"288","50204",13999
"289","50205",5294
"290","50206",3934
"291","50207",1883
"292","50301",9433
"293","50302",5204
"294","50303",1879
"295","50304",1077
"296","50305",474
"297","50307",6955
"298","50401",2874
"299","50402",935
