"","school","program","schoolname","sssdistrict","ssslong","ssslat","quality","cutoff","size","selectivity_cutoff","selectivity_quality"
"1","100101","General Arts","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,244.392405063291,198,79,"1","2"
"2","100101","Home Economics","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,229.45,199,40,"1","1"
"3","100101","Technical","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,235.102040816327,201,49,"1","1"
"4","100102","Agriculture","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,292.555555555556,273,90,"7","7"
"5","100102","Business","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,303.344444444444,283,90,"8","8"
"6","100102","General Arts","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,311.111111111111,291,90,"8","8"
"7","100102","General Science","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,298.433333333333,273,90,"7","7"
"8","100102","Home Economics","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,278.866666666667,262,45,"7","6"
"9","100102","Visual Arts","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,275.2,250,45,"6","6"
"10","100104","General Arts","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.285030365,10.03062153,337.444444444444,319,45,"9","9"
"11","100104","General Science","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.285030365,10.03062153,334,313,45,"9","9"
"12","100104","Home Economics","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.285030365,10.03062153,309.355555555556,282,45,"8","8"
"13","100105","Business","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,268.0125,251,80,"6","5"
"14","100105","General Arts","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,274.7375,258,80,"7","6"
"15","100105","Home Economics","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,258.1625,242,80,"6","4"
"16","100106","Agriculture","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,240.625,223,40,"4","2"
"17","100106","Business","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,253.5,238,40,"5","4"
"18","100106","General Arts","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.285030365,10.03062153,268.975,248,40,"6","6"
"19","100201","Business","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.800941229,10.54639816,314.275,288,80,"8","8"
"20","100201","General Arts","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.800941229,10.54639816,339.025,319,40,"9","9"
"21","100201","General Science","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.800941229,10.54639816,356.1125,334,80,"9","10"
"22","100202","Business","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.800941229,10.54639816,261.485,230,200,"5","5"
"23","100202","General Arts","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.800941229,10.54639816,274.556,252,250,"6","6"
"24","100202","General Science","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.800941229,10.54639816,286.95,265,100,"7","7"
"25","100203","Agriculture","EREMON SEC./TECH SCHOOL, EREMON     ","Lawra",-2.800941229,10.54639816,242.54,225,50,"4","2"
"26","100203","Home Economics","EREMON SEC./TECH SCHOOL, EREMON     ","Lawra",-2.800941229,10.54639816,227.222222222222,201,36,"1","1"
"27","100203","Technical","EREMON SEC./TECH SCHOOL, EREMON     ","Lawra",-2.800941229,10.54639816,223.1875,200,16,"1","1"
"28","100204","Business","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.800941229,10.54639816,226.5625,204,32,"1","1"
"29","100204","General Arts","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.800941229,10.54639816,229.15,194,40,"1","1"
"30","100204","Home Economics","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.800941229,10.54639816,230.705882352941,202,17,"1","1"
