,jssdistrict,point_x,point_y
1,South Dayi (Kpeve),0.207630739,6.375762463
2,Sawla-Tuna-Kalba,-2.361167192,9.407021523
3,Adaklu Anigbe (Kpetoe),0.488698304,6.383956909
4,talensi-Nabdam (Tongo),-0.749606252,10.67834568
5,Tain,-2.286830902,7.948905468
6,Amansie Central (Jacobu),-1.739857674,6.242801189
7,Garu Tempane,-0.171862438,10.82201672
8,Pru,-0.992189467,8.007646561
9,Bunkpurugu Yunyoo (Bunkpurugu),-0.084166996,10.52212906
10,Adansi North (Fomena),-1.568737864,6.073348522
11,Atiwa (Kwabeng),-0.675171912,6.32678175
12,Atwima Mponua (Nyinahin),-2.177180529,6.549507141
13,Adansi East (New Edubiase),-1.396528602,6.105481625
14,Adansi West (Obuasi),-1.65927422,5.986411572
15,Afigya Sekyere (Agona),-1.548614264,7.00199604
16,Ahafo Ano North (Tepa),-2.207579613,6.900829792
17,Ahafo Ano South (Mankranso),-1.98917222,6.928771496
18,Amansie East (Bekwai),-1.37072885,6.383360863
19,Amansie West (Manso-Nkwanta),-1.893369913,6.436944962
20,Asante Akim North (Konongo),-1.017963052,6.834003925
21,Asante Akim South (Juaso),-1.088292599,6.532979965
22,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
23,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
24,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
25,Ejura/Sekyedumase (Ejura),-1.367965341,7.462873936
26,Kumasi Metro,-1.597187161,6.682059765
27,Kwabre (Mamponteng),-1.541420102,6.806778431
28,Offinso,-1.890868545,7.34876442
29,Sekyere East (Effiduase),-0.844235957,7.210828781
30,Sekyere West (Mampong),-1.180076838,7.199564934
31,,-2.64866066,7.877840519
32,Kintampo South,-1.763315678,7.901239872
33,Asunafo South,-2.572204828,6.631168842
34,Kintampo North,-1.544426322,8.371118546
35,Asunafo (Goaso),-2.683745623,6.80908823
36,Asutifi (Kenyasi),-2.515068054,7.028093815
37,Atebubu,-1.065201521,7.675590515
38,Berekum,-2.631743908,7.503564835
39,Dormaa (Dormaa Ahenkro),-2.753840446,7.222848892
40,Jaman (Drobo),-2.75930357,7.683095932
41,Kintampo,-1.544426322,8.371118546
42,Nkoranza,-1.515973568,7.664369106
43,Sene (Kwame Danso),-0.34885782,7.721522331
44,Sunyani,-2.327423334,7.344677925
45,Tano North,-2.179065228,7.177093506
46,Tano (Bechem),-2.021415234,7.183659077
47,Techiman,-1.944841981,7.677614689
48,Wenchi,-1.944841981,7.677614689
49,Assin South (Nsuaem Kyekyewere),-1.26436615,5.495794773
50,Abura/Asebu/Kwamankese (Abura Dunkwa),-1.197088361,5.130000591
51,Agona Swedru,-0.755242527,5.617353439
52,Ajumako/Enyan/Essiam (Ajumako),-1.005384564,5.401724815
53,Asikuma/Odoben/Brakwa (Breman Asikuma),-1.017074227,5.638250351
54,Assin North (Assin Fosu),-1.374616981,5.77799511
55,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126
56,Cape Coast Municipal,-1.306593895,5.153656006
