,schoolname,schoolcode,sssdistrict,ssslong,ssslat
1,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,Cape Coast Municipal,-1.306593895,5.153656006
2,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,Cape Coast Municipal,-1.306593895,5.153656006
3,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,Cape Coast Municipal,-1.306593895,5.153656006
4,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,Cape Coast Municipal,-1.306593895,5.153656006
5,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,Cape Coast Municipal,-1.306593895,5.153656006
6,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,Cape Coast Municipal,-1.306593895,5.153656006
7,"ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,Kwahu South (Mpraeso),-0.635528684,6.619226456
8,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,Ga West (Amasaman),-0.397510529,5.664687634
9,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,Cape Coast Municipal,-1.306593895,5.153656006
10,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,Cape Coast Municipal,-1.306593895,5.153656006
11,"ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,Akwapim South (Nsawam),-0.268249363,5.826002598
12,"ST. PETER'S SENIOR HIGH SCH, NKWATIA-KWAHU",21003,Kwahu South (Mpraeso),-0.635528684,6.619226456
13,"OPOKU WARE SENIOR HIGH. SCHOOL, SANTASI",50110,Kumasi Metro,-1.597187161,6.682059765
14,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,Accra Metropolitan,-0.197115257,5.607395649
15,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,Cape Coast Municipal,-1.306593895,5.153656006
16,"ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
17,"ST. ROSE'S SENIOR HIGH SCH, AKWATIA",21103,Kwaebibirem (Kade),-0.799037278,6.133318901
18,"ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,Akwapim South (Nsawam),-0.268249363,5.826002598
19,"ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,Kumasi Metro,-1.597187161,6.682059765
20,"WESLEY GIRLS HIGH SCHOOL, CAPE COAST",30107,Cape Coast Municipal,-1.306593895,5.153656006
21,"ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,Akwapim South (Nsawam),-0.268249363,5.826002598
22,"ST. ROSE'S SENIOR HIGH SCH, AKWATIA",21103,Kwaebibirem (Kade),-0.799037278,6.133318901
23,"HOLY CHILD SENIOR HIGH SCHOOL, CAPE COAST",30103,Cape Coast Municipal,-1.306593895,5.153656006
24,"MFANTSIPIM SENIOR HIGH SCHOOL, CAPE COAST",30104,Cape Coast Municipal,-1.306593895,5.153656006
25,"OPOKU WARE SENIOR HIGH. SCHOOL, SANTASI",50110,Kumasi Metro,-1.597187161,6.682059765
26,"ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,Kumasi Metro,-1.597187161,6.682059765
27,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,Accra Metropolitan,-0.197115257,5.607395649
28,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,Accra Metropolitan,-0.197115257,5.607395649
29,"ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,Accra Metropolitan,-0.197115257,5.607395649
30,"ST. ROSE'S SENIOR HIGH SCH, AKWATIA",21103,Kwaebibirem (Kade),-0.799037278,6.133318901
31,"ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,Kumasi Metro,-1.597187161,6.682059765
32,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,Mfantsiman (Saltpond),-1.006453395,5.201528072
33,"ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,Accra Metropolitan,-0.197115257,5.607395649
34,"ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
35,"OPOKU WARE SENIOR HIGH. SCHOOL, SANTASI",50110,Kumasi Metro,-1.597187161,6.682059765
36,"PREMPEH COLLEGE, KUMASI",50108,Kumasi Metro,-1.597187161,6.682059765
37,"ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,Akwapim South (Nsawam),-0.268249363,5.826002598
38,"MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,Mfantsiman (Saltpond),-1.006453395,5.201528072
39,"ST. JAMES SEMINARY & SENIOR HIGH. SCHOOL, ABESIM",60106,Sunyani,-2.327423334,7.344677925
40,"PREMPEH COLLEGE, KUMASI",50108,Kumasi Metro,-1.597187161,6.682059765
41,"POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,New Juaben (Koforidua),-0.297512323,6.112612724
42,"ABURI GIRLS SENIOR HIGH. SCH., ABURI",20301,Akwapim South (Nsawam),-0.268249363,5.826002598
43,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,Ga West (Amasaman),-0.397510529,5.664687634
44,"ST. LOUIS SENIOR HIGH. SCHOOL, ODOUM",50102,Kumasi Metro,-1.597187161,6.682059765
45,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,Ga West (Amasaman),-0.397510529,5.664687634
46,"OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,Akwapim North (Akropong),-0.166071147,5.976426125
47,"ANGLICAN SENIOR HIGH SCHOOL, ASEM-KUMASI",50107,Kumasi Metro,-1.597187161,6.682059765
48,"PRESBY BOYS SENIOR HIGH. SCHOOL, LEGON",10111,Ga West (Amasaman),-0.397510529,5.664687634
49,"ARCHBISHOP PORTER SENIOR HIGH SCHOOL, SEKONDI",40103,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
50,"POPE JOHN SENIOR HIGH & JNR. SEM. SCH., KOFORIDUA",20102,New Juaben (Koforidua),-0.297512323,6.112612724
